date,retail_td,delivery_td,unused_calendar
2018-01-01,-1.2,0.5,0
2018-02-01,0.8,-0.5,1
2018-03-01,0.3,1.0,0
2018-04-01,-0.7,-1.0,1
2018-05-01,1.1,0.2,0
2018-06-01,-0.4,-0.2,1
2018-07-01,0.6,0.7,0
2018-08-01,-1.0,-0.7,1
2018-09-01,0.2,0.4,0
2018-10-01,0.9,-0.4,1
2018-11-01,-0.6,0.9,0
2018-12-01,0.0,-0.9,1
2019-01-01,-0.8,0.7,1
2019-02-01,1.0,-0.3,0
2019-03-01,-0.2,0.8,1
2019-04-01,0.5,-1.1,0
2019-05-01,-1.0,0.4,1
2019-06-01,0.7,-0.6,0
2019-07-01,-0.4,1.0,1
2019-08-01,1.2,-0.5,0
2019-09-01,-0.7,0.2,1
2019-10-01,0.3,-0.8,0
2019-11-01,0.8,0.6,1
2019-12-01,-0.5,-0.4,0
2020-01-01,0.4,-0.9,0
2020-02-01,-1.1,0.5,1
2020-03-01,0.9,-0.2,0
2020-04-01,-0.3,1.1,1
2020-05-01,0.6,-0.7,0
2020-06-01,-0.8,0.3,1
2020-07-01,1.0,-0.5,0
2020-08-01,-0.5,0.8,1
2020-09-01,0.2,-1.0,0
2020-10-01,-0.9,0.4,1
2020-11-01,0.7,-0.3,0
2020-12-01,-0.2,0.5,1
2021-01-01,1.1,-0.6,1
2021-02-01,-0.6,0.9,0
2021-03-01,0.4,-0.8,1
2021-04-01,-1.0,0.2,0
2021-05-01,0.8,0.7,1
2021-06-01,-0.3,-1.1,0
2021-07-01,0.5,0.4,1
2021-08-01,-0.7,-0.2,0
2021-09-01,1.0,0.6,1
2021-10-01,-0.4,-0.9,0
2021-11-01,0.2,1.0,1
2021-12-01,-0.9,-0.3,0
2022-01-01,-0.5,1.0,0
2022-02-01,0.7,-0.8,1
2022-03-01,-1.0,0.3,0
2022-04-01,0.9,-0.5,1
2022-05-01,-0.2,0.8,0
2022-06-01,0.5,-1.0,1
2022-07-01,-0.8,0.6,0
2022-08-01,1.1,-0.4,1
2022-09-01,-0.4,0.2,0
2022-10-01,0.3,0.9,1
2022-11-01,-0.7,-0.7,0
2022-12-01,0.8,-0.2,1
2023-01-01,0.6,-0.4,1
2023-02-01,-0.9,0.7,0
2023-03-01,1.0,-0.6,1
2023-04-01,-0.4,0.9,0
2023-05-01,0.2,-1.0,1
2023-06-01,-0.7,0.5,0
2023-07-01,0.9,-0.3,1
2023-08-01,-1.1,0.8,0
2023-09-01,0.5,-0.9,1
2023-10-01,-0.2,0.4,0
2023-11-01,0.8,0.1,1
2023-12-01,-0.6,-0.5,0
2024-01-01,-1.0,0.8,0
2024-02-01,0.5,-0.7,1
2024-03-01,0.8,0.4,0
2024-04-01,-0.6,-0.9,1
2024-05-01,1.0,0.6,0
2024-06-01,-0.3,-0.4,1
2024-07-01,0.4,1.0,0
2024-08-01,-0.8,-0.6,1
2024-09-01,0.7,0.2,0
2024-10-01,-0.5,0.7,1
2024-11-01,0.2,-1.0,0
2024-12-01,0.9,-0.1,1
