date,sales,orders
2019-01-01,120.0,80.0
2019-02-01,124.5,84.0
2019-03-01,128.8,88.2
2019-04-01,127.1,86.5
2019-05-01,124.0,83.1
2019-06-01,121.2,79.8
2019-07-01,119.0,77.0
2019-08-01,120.4,78.4
2019-09-01,123.8,81.7
2019-10-01,127.0,85.0
2019-11-01,131.2,89.1
2019-12-01,127.4,85.8
2020-01-01,123.2,82.0
2020-02-01,127.7,86.0
2020-03-01,132.0,90.2
2020-04-01,124.5,81.0
2020-05-01,119.8,76.4
2020-06-01,117.0,73.5
2020-07-01,117.3,74.8
2020-08-01,122.0,80.2
2020-09-01,127.0,85.4
2020-10-01,131.5,89.8
2020-11-01,135.0,93.0
2020-12-01,131.0,89.4
2021-01-01,127.0,85.0
2021-02-01,131.5,89.2
2021-03-01,136.0,93.5
2021-04-01,134.2,91.7
2021-05-01,131.0,88.0
2021-06-01,128.0,84.8
2021-07-01,126.0,82.1
2021-08-01,127.5,83.7
2021-09-01,131.0,87.1
2021-10-01,134.2,90.5
2021-11-01,138.5,94.7
2021-12-01,134.8,91.4
2022-01-01,130.5,87.2
2022-02-01,135.0,91.3
2022-03-01,139.4,95.6
2022-04-01,137.8,93.8
2022-05-01,134.5,90.2
2022-06-01,131.6,87.0
2022-07-01,129.5,84.3
2022-08-01,131.0,85.9
2022-09-01,134.5,89.4
2022-10-01,137.8,92.8
2022-11-01,142.0,97.0
2022-12-01,138.2,93.6
2023-01-01,134.0,89.5
2023-02-01,138.5,93.6
2023-03-01,143.0,98.0
2023-04-01,141.2,96.1
2023-05-01,138.0,92.5
2023-06-01,135.0,89.3
2023-07-01,133.0,86.6
2023-08-01,134.5,88.2
2023-09-01,138.0,91.7
2023-10-01,141.2,95.1
2023-11-01,145.5,99.3
2023-12-01,141.8,96.0
