quarter,seasonally_adjusted
2005-01-01,99.2348731958672
2005-04-01,101.04251780743068
2005-07-01,100.88095039165323
2005-10-01,100.79590534508625
2006-01-01,102.61152745900755
2006-04-01,101.91055490442932
2006-07-01,103.39932318987255
2006-10-01,102.74777794501668
2007-01-01,104.52819516517363
2007-04-01,104.15789118972255
2007-07-01,105.75130667926382
2007-10-01,106.37573888595097
2008-01-01,107.0341498590703
2008-04-01,107.05936903922093
2008-07-01,107.47721747886958
2008-10-01,107.68716648417343
2009-01-01,107.9088019856338
2009-04-01,108.07645384987482
2009-07-01,108.18061926865192
2009-10-01,109.78641664155526
2010-01-01,108.67364089489583
2010-04-01,109.85568146008404
2010-07-01,109.1690501406243
2010-10-01,110.37908189278055
2011-01-01,111.1677684013831
2011-04-01,111.32770610801737
2011-07-01,111.01641525234481
2011-10-01,111.93740232262519
2012-01-01,112.66856217927831
2012-04-01,111.32227860524479
2012-07-01,112.00812571272931
2012-10-01,111.96631502679348
2013-01-01,111.77804404380448
2013-04-01,113.85822761747445
2013-07-01,114.07404892161885
2013-10-01,113.98794076791428
2014-01-01,114.20744986195227
2014-04-01,113.49775023831381
2014-07-01,114.90036525922027
2014-10-01,114.70653899483702
2015-01-01,113.69293475865214
2015-04-01,115.56666654292059
2015-07-01,115.39394396637907
2015-10-01,116.02559292176937
2016-01-01,115.82884829746395
2016-04-01,116.51729090808556
2016-07-01,117.173981251858
2016-10-01,117.14222639617081
2017-01-01,116.99201924117794
2017-04-01,118.76942739760678
2017-07-01,118.75775183799652
2017-10-01,118.74081023054994
2018-01-01,120.37152447120951
2018-04-01,119.5107052928098
2018-07-01,120.0567506949802
2018-10-01,120.86822281138022
2019-01-01,120.8472712981584
2019-04-01,121.52653965481267
2019-07-01,122.80805548192893
2019-10-01,121.93233616836338
2020-01-01,123.85554390506208
2020-04-01,124.64472676966909
2020-07-01,124.48519889276147
2020-10-01,124.62094333185256
2021-01-01,126.04699832147469
2021-04-01,126.03505893770965
2021-07-01,126.29907406897766
2021-10-01,127.67495693466152
2022-01-01,129.19494203748417
2022-04-01,128.02748268340204
2022-07-01,128.80452644448434
2022-10-01,130.06899368605866
2023-01-01,129.48205290119756
2023-04-01,130.597628845682
2023-07-01,130.88285562138498
2023-10-01,131.4227470218455
2024-01-01,131.06231512556963
2024-04-01,132.4867678915149
2024-07-01,132.49505431281838
2024-10-01,133.55594150241748
2025-01-01,133.66821387291506
2025-04-01,134.11430711358122
2025-07-01,134.63998309898196
2025-10-01,134.99379549510112
